revision;Meta Class;Meta Concept;Meta Description;envisionName;nwName;format;flags;nullTokens;failureKey;failureMapping;nbOccurrences;shotMeta;name_noDot;ecsName;ecsType
1;Reserved;Message;This key is used to capture the raw message that comes into the Log Decoder;msg;msg;Text;Transient;;;;272;internal;msg;rsa.internal.msg;text
1;;;;messageid;;;;;;;270;internal;messageid;rsa.internal.messageid;keyword
1;Time;Event Time;This key is used to capture the time mentioned in a raw session that represents the actual time an event occured in a standard normalized form;event_time;event.time;TimeT;None;;;;253;time;event_time;rsa.time.event_time;keyword
1;Identity;Destination User Account;This key should only be used to capture the Primary/Destination User in the event;username;user.dst;Text;None;none|-;;;248;identity;user_dst;user.name;keyword
1;;;;event_description;event.desc;Text;None;;;;223;internal;event_desc;rsa.internal.event_desc;keyword
1;;;;action;action;Text;None;;;;217;misc;action;rsa.misc.action;keyword
1;Database;Index ID;This key captures IndexID of the index.;info;index;Text;Transient;;;;214;db;index;rsa.db.index;keyword
1;Network;Source IP Address;This key should only be used when it’s a Source IP Address.;saddr;ip.src;IPv4;None;(null)|-;ipv6.src;saddr_v6;209;network;ip_src;source.ip;ip
1;Reserved;Payload Size;This is the size of a payload in a Packet Session. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness;payload;payload;UInt32;Transient;;;;206;internal;payload;rsa.internal.payload;integer
1;Miscellaneous;Message;This key captures the contents of instant messages;message;message;Text;Transient;;;;193;internal;message;rsa.internal.message;keyword
1;Network;Hostname Aliases;This key should be used when the source or destination context of a hostname is not clear.Also it captures the Device Hostname. Any Hostname that isnt ad.computer.;hostname;alias.host;Text;None;;;;192;network;alias_host;rsa.network.alias_host;keyword
1;Investigations;Event Activity;This key captures the particular event activity(Ex:Logoff);ec_activity;ec.activity;Text;None;;;;183;investigations;ec_activity;rsa.investigations.ec_activity;keyword
1;Investigations;Event Theme;This key captures the Theme of a particular Event(Ex:Authentication);ec_theme;ec.theme;Text;None;;;;181;investigations;ec_theme;rsa.investigations.ec_theme;keyword
1;Investigations;Event Subject;This key captures the Subject of a particular Event(Ex:User);ec_subject;ec.subject;Text;None;;;;179;investigations;ec_subject;rsa.investigations.ec_subject;keyword
1;Miscellaneous;Result;This key is used to capture the outcome/result string value of an action in a session.;result;result;Text;None;;;;179;misc;result;rsa.misc.result;keyword
1;Miscellaneous;Severity;This key is used to capture the severity given the session;severity;severity;Text;Transient;;;;167;misc;severity;rsa.misc.severity;keyword
1;Investigations;Event Outcome;This key captures the outcome of a particular Event(Ex:Success);ec_outcome;ec.outcome;Text;None;;;;153;investigations;ec_outcome;rsa.investigations.ec_outcome;keyword
1;Network;Destination IP address;This key should only be used when it’s a Destination IP Address.;daddr;ip.dst;IPv4;None;(null)|-;ipv6.dst;daddr_v6;152;network;ip_dst;destination.ip;ip
1;Miscellaneous;Event Type;This key captures the event category type as specified by the event source.;event_type;event.type;Text;None;;;;149;misc;event_type;rsa.misc.event_type;keyword
1;Miscellaneous;Reference ID;This key is used to capture an event id from the session directly;id;reference.id;Text;None;;;;138;misc;reference_id;rsa.misc.reference_id;keyword
1;Network;Protocol;This key should be used to capture the protocol name;protocol;protocol;Text;Transient;;;;133;network;protocol;network.protocol;keyword
1;Miscellaneous;Versions;This key captures Version of the application or OS which is generating the event.;version;version;Text;None;;;;133;misc;version;observer.version;keyword
1;File;Filename;This key is used to capture the complete filename/Webpage with extension where the directionality is not clear. This should not include the directory/path;filename;filename;Text;File;N/A;;;128;file;filename;file.name;keyword
1;;IP Address;Deprecated, use alias.ip;hostip;ip.addr;IPv4;None;(null)|-;ipv6.addr;hostip_v6;128;network;ip_addr;host.ip;ip
1;;IP Source Port;Deprecated, use port.src;sport;ip.srcport;UInt16;Transient;-|(null)|N/A;;;123;network;ip_srcport;source.port;long
1;;Destination Port;Deprecated, use port.dst;dport;ip.dstport;UInt16;None;-|(null)|null|N/A;;;115;network;ip_dstport;destination.port;long
1;Miscellaneous;Disposition;This key captures the The end state of an action.;disposition;disposition;Text;Transient;;;;113;misc;disposition;rsa.misc.disposition;keyword
1;Miscellaneous;Result Code;This key is used to capture the outcome/result numeric value of an action in a session;resultcode;result.code;Text;None;;;;112;misc;result_code;rsa.misc.result_code;keyword
1;Miscellaneous;Category;This key is used to capture the category of an event given by the vendor in the session;category;category;Text;None;;;;105;misc;category;rsa.misc.category;keyword
1;Miscellaneous;Object Name;This is used to capture name of object;obj_name;obj.name;Text;None;;;;102;misc;obj_name;rsa.misc.obj_name;keyword
1;Network;Source Hostname;This key should only be used when it’s a Source Hostname.;shost;host.src;Text;None;;;;99;network;host_src;host.hostname;keyword
1;Miscellaneous;Object Type;This is used to capture type of object;obj_type;obj.type;Text;None;;;;96;misc;obj_type;rsa.misc.obj_type;keyword
1;Web;URL;This key is used for capturing complete url;url;url;Text;Transient;;;;93;web;url;url.original;keyword
1;Miscellaneous;Server Application;This key is used to capture the name of the server application only;application;server;Text;Transient;;;;91;misc;server;network.application;keyword
1;Miscellaneous;Event Source;This key captures Source of the event that’s not a hostname;event_source;event.source;Text;None;;;;90;misc;event_source;rsa.misc.event_source;keyword
1;Network;Service Name;This is used to capture descriptive service name, typically seen in Windows;service;service.name;Text;None;;;;88;network;service_name;service.name;keyword
1;;;;domain;domain;Text;None;;;;84;network;domain;server.domain;keyword
1;Miscellaneous;Event Session ID;This key is used to capture a sessionid from the session directly;sessionid;log.session.id;Text;Transient;;;;82;misc;log_session_id;rsa.misc.log_session_id;keyword
1;Miscellaneous;Group Name;This key captures the Group Name value;group;group;Text;None;;;;81;misc;group;rsa.misc.group;keyword
1;Network;Destination Hostname;This key should only be used when it’s a Destination Hostname;dhost;host.dst;Text;None;;;;81;network;host_dst;rsa.network.host_dst;keyword
1;Counters;Device class Counter 1;This is a generic counter key that should be used with the label dclass.c1.str only;dclass_counter1;dclass.c1;Int32;Transient;;;;80;counters;dclass_c1;rsa.counters.dclass_c1;integer
1;Miscellaneous;Policy Name;This key is used to capture the Policy Name only.;policyname;policy.name;Text;None;;;;80;misc;policy_name;rsa.misc.policy_name;keyword
1;Identity;Source User Account;This key should only be used to capture the Secondary/Source User in the event;c_username;user.src;Text;None;none|-;;;77;identity;user_src;user.name;keyword
1;Miscellaneous;Process ID;This key is used to capture the Process ID, in case of parent child relationship, this can be used for child process id context.;process_id;process.id;Int64;Transient;(null)|-;process.id.val;process_id_val;75;misc;process_id;process.pid;long
1;;;;process;process;Text;None;;;;74;misc;process;process.name;keyword
1;Miscellaneous;Rule Name;This key captures the Rule Name;rulename;rule.name;Text;Transient;;;;72;misc;rule_name;rsa.misc.rule_name;keyword
1;Miscellaneous;Context;This key captures Information which adds additional context to the event.;context;context;Text;None;;;;70;misc;context;rsa.misc.context;keyword
1;Miscellaneous;Change New;This key is used to capture the new values of the attribute that’s changing in a session;change_new;change.new;Text;Transient;;;;69;misc;change_new;rsa.misc.change_new;keyword
1;Miscellaneous;Product Name;This key is used to capture the name of the product.;product;product;Text;Transient;;;;69;misc;product;observer.product;keyword
1;;;;space;;;;;;;68;misc;space;rsa.misc.space;keyword
