Log Parser Key||ECS field||ECS type
time||rsa.time||string
dclass_counter1||dclass.c1.id||integer
dclass_counter1_string||dclass.c1.str||string
dclass_counter2||dclass.c2.id||integer
dclass_counter2_string||dclass.c2.str||string
dclass_counter3||dclass.c3.id||integer
dclass_counter3_string||dclass.c3.str||string
dclass_ratio1||dclass.r1.id||string
dclass_ratio1_string||dclass.r1.str||string
dclass_ratio2||dclass.r2.id||string
dclass_ratio2_string||dclass.r2.str||string
dclass_ratio3||dclass.r3.id||string
dclass_ratio3_string||dclass.r3.str||string
event_counter||event.counter||integer
cert.thumbprint||crypto.cert.thumbprint||string
cert_common||crypto.cert.common||string
cert_error||crypto.cert.error||string
cert_hostname_cat||crypto.cert.host.cat||string
cert_subject||crypto.cert.subject||string
cert.serial||crypto.cert.serial||string
cert_ca||crypto.cert.ca||string
cert_status||crypto.cert.status||string
encryption_type||crypto.crypto||string
d_cipher||crypto.cipher.dst||string
d_ciphersize||crypto.cipher.size.dst||integer
peer_id||crypto.peer.id||string
peer||crypto.peer.ip||string
scheme||crypto.scheme||string
sigtype||crypto.sig.type||string
ike_cookie1||crypto.ike.cookie1||string
ike_cookie2||crypto.ike.cookie2||string
ike||crypto.ike||string
s_cipher||crypto.cipher.src||string
s_ciphersize||crypto.cipher.size.src||integer
db_id||database.db.id||string
instance||database.instance||string
db_name||database.database||string
db_pid||database.db.pid||integer
info||database.index||string
index||database.index||string
lread||database.lread||integer
lwrite||database.lwrite||integer
permissions||database.permissions||string
pread||database.pread||integer
trans_id||database.transact.id||string
tbl_name||database.table.name||string
user_address||email.user_address||string
cc||email.cc||string
bcc||email.bcc||string
email||email.email||string
from||email.from||string
to||email.to||string
subject||email.subject||string
host.state||endpoint.host.state||string
registry.key||endpoint.registry.key||string
registry.value||endpoint.registry.value||string
attachment||file.attachment||string
directory||file.directory||string
file_entropy||file.entropy||float
web_extension||url.extension||string
extension||file.extension||string
filetype||file.type||string
file.cat||file.cat||string
file.cat.src||file.cat.src||string
file.cat.dst||file.cat.dst||string
filename||file.name||string
filename_src||file.parent.name||string
filename_dst||file.target.name||string
filename_size||file.size||integer
directory.src||file.parent.dir||string
directory.dst||file.target.dir||string
checksum.src||file.parent.checksum||string
checksum.dst||file.target.checksum||string
task_name||file.task_name||string
file_vendor||file.vendor||string
patient_id||patient.id||string
patient_fname||patient.first_name||string
patient_lname||patient.last_name||string
patient_mname||patient.middle_name||string
community.id||user.community.id||string
accesses||user.accesses||string
authmethod||user.auth.method||string
dn||user.dn.ou||string
src_dn||user.dn.src||string
dst_dn||user.dn.dst||string
domain_id||user.domain||string
federated_idp||user.federated.idp||string
federated_sp||user.federated.sp||string
user_fname||patient.first_name||string
patient_fullname||patient.full_name||string
user_fullname||patient.user_name||string
host_role||user.host.role||string
user_lname||user.lastname||string
ldap||user.ldap.data||string
ldap.response||user.ldap.response||string
ldap.query||user.ldap.query||string
user_mname||user.middlename||string
original_owner||user.owner||string
password||user.password||string
realm||user.realm||string
user||user.account||string
c_username||user.user.src||string
username||user.user.dst||string
user_role||user.user.role||string
user.id||user.id||string
c_sid||user.sid.src||string
sid||user.sid.dst||string
user_dept||user.dept||string
user_org||user.org||string
service.account||user.service_account||string
logon_type||user.logon.type||string
logon_type_desc||user.logon.type.desc||string
profile||user.profile||string
boc||threat.boc||string
ioc||threat.ioc||string
eoc||threat.eoc||string
event_cat||threat.event_cat||integer
event.cat||threat.event.cat||integer
event_cat_name||threat.event.cat_name||string
event.cat.name||threat.event.cat_name||string
ec_activity||threat.ec_activity||string
ec_outcome||threat.ec_outcome||string
ec_subject||threat.ec_subject||string
ec_theme||threat.ec_theme||string
analysis.file||threat.analysis.file||string
analysis.service||threat.analysis.service||string
analysis.session||threat.analysis.session||string
inv.category||threat.inv.category||string
inv.context||threat.inv.context||string
vendor_event_cat||threat.vendor_event_cat||string
web_method||http.request.method||string
action||http.request.action||string
calling_from||misc.calling_from||string
calling_to||misc.calling_to||string
phone_number||misc.phone_number||string
autorun_type||misc.autorun_type||string
category||misc.category||string
change_attribute||misc.change_attribute||string
change_new||misc.change_new||string
change_old||misc.change_old||string
checksum||misc.checksum||string
agent||misc.agent||string
comments||misc.comments||string
connectionid||misc.connectionid||string
content||misc.content||string
content_type||misc.content_type||string
content_version||misc.content_version||string
context||misc.context.data||string
s_context||misc.s_context||string
context.dst||misc.context.dst||string
context.src||misc.context.src||string
cpu||misc.cpu||integer
cc.number||misc.cc.number||integer
cve||misc.cve||string
dst_spi||misc.dst_spi||string
device||misc.device||string
disposition||misc.disposition||string
dns_querytype||misc.dns_querytype||string
doc_number||misc.doc_number||integer
ein.number||misc.ein.number||integer
error||misc.error||string
detail||misc.detail||string
event_description||misc.event_description||string
event_computer||misc.event_computer||string
id||misc.id||string
event_log||misc.event_log||string
sessionid||misc.sessionid||string
sessionid1||misc.sessionid1||string
event_source||misc.event_source||string
event_state||misc.event_state||string
event_type||misc.event_type||string
event_user||misc.event_user||string
expected_val||misc.expected_val||string
fcatnum||misc.fcatnum||string
filter||misc.filter||string
fresult||misc.fresult||integer
found||misc.found||string
groupid||misc.groupid||string
group||misc.group||string
group_object||misc.group_object||string
hardware_id||misc.hardware_id||string
jobnum||misc.jobnum||string
language||misc.language||string
lifetime||misc.lifetime||integer
link||misc.link||string
sigid1||misc.sigid1||integer
message||misc.message||string
message_body||misc.message_body||string
terminal||misc.terminal||string
node||misc.node||string
obj_name||misc.obj_name||string
obj_type||misc.obj_type||string
observed_val||misc.observed_val||string
operation_id||misc.operation_id||string
os||misc.os||string
packets||misc.packets||integer
parent_node||misc.parent_node||string
policy_value||misc.policy_value||string
policy_id||misc.policy_id||string
policyname||misc.policyname||string
signame||misc.signame||string
pool_id||misc.pool_id||string
pool_name||misc.pool_name||string
portname||misc.portname||string
child_process||misc.child_process||string
process||misc.process||string
parent_process||misc.parent_process||string
process_src||misc.process_src||string
process_id||misc.process_id||integer
process_id_src||misc.process_id_src||integer
process_id_val||misc.process_id_val||string
param||misc.param.data||string
param.src||misc.param.src||string
param.dst||misc.param.dst||string
product||misc.product||string
id1||misc.id1||string
id2||misc.id2||string
match||misc.match||string
result||misc.result||string
resultcode||misc.resultcode||string
risk||misc.risk||string
risk_num||misc.risk_num||float
risk_num_comm||misc.risk_num_comm||float
risk_num_next||misc.risk_num_next||float
risk_num_sand||misc.risk_num_sand||float
risk_num_static||misc.risk_num_static||float
rule_group||misc.rule_group||string
rulename||misc.rulename||string
rule||misc.rule||string
rule_template||misc.rule_template||string
rule_uid||misc.rule_uid||string
search.text||misc.search.text||string
sensor||misc.sensor||string
serial_number||misc.serial_number||string
application||misc.application||string
severity||misc.severity||string
sigid||misc.sigid||integer
sigid_string||misc.sigid_string||string
sig.name||misc.sig.name||string
snmp.oid||misc.snmp.oid||string
snmp.value||misc.snmp.value||string
src_spi||misc.src_spi||string
sql||misc.sql||string
streams||misc.streams||integer
component_version||misc.component_version||string
library||misc.library||string
listnum||misc.listnum||string
tcp_flags||misc.tcp_flags||integer
tcp.flags.desc||misc.tcp.flags.desc||string
trigger_desc||misc.trigger_desc||string
trigger_val||misc.trigger_val||string
tos||misc.tos||integer
agent.id||misc.agent.id||string
user_agent||misc.user_agent||string
version||misc.version||string
vsys||misc.vsys||string
virusname||misc.virusname||string
vm_target||misc.vm_target||string
vuln_ref||misc.vuln_ref||string
workspace_desc||misc.workspace_desc||string
src_payload||misc.src_payload||string
dst_payload||misc.dst_payload||string
mail_id||misc.mail_id||string
rbytes||destination.bytes||integer
sbytes||source.bytes||integer
bytes||network.bytes||integer
direction||network.direction||string
domain.src||source.domain||string
domain.dst||destination.domain||string
domainname||network.domain||string
domain||network.domain||string
eth_type||network.eth_type||integer
gateway||network.gateway||string
hostname||host.hostname||string
devicehostname||host.hostname||string
hostid||host.id||string
r_hostid||host.id||string
workstation||host.id||string
web_host||host.hostname||string
web_ref_host||host.hostname||string
alias.host||host.hostname||string
shost||source.hostname||string
dhost||destination.hostname||string
host.orig||host.orig||string
icmpcode||network.icmp.code||integer
icmptype||network.icmp.type||integer
sinterface||source.interface||string
dinterface||destination.interface||string
interface||network.interface||string
saddr||source.ip||string
daddr||destination.ip||string
devicehostip||host.alias.ip||string
alias.ip||host.alias.ip||string
ip.trans.src||source.ip_trans||string
ip.trans.dst||destination.ip_trans||string
ip.orig||network.forwarded_ip||string
saddr_v6||source.ip||string
daddr_v6||destination.ip||string
alias.ipv6||source.alias.ip||string
ipv6.orig||source.nat.ip||string
smacaddr||source.mac||string
dmacaddr||destination.mac||string
devicehostmac||host.mac||string
alias.mac||host.mac||string
smask||source.mask||string
dmask||destination.mask||string
mask||network.mask||string
netname||network.netname||string
rpayload||network.rpayload||string
port.src||source.port||integer
port.dst||destination.port||integer
port||network.port||integer
port.trans.src||source.nat.port||integer
port.trans.dst||destination.nat.port||integer
ip_proto||network.protocol||string
protocol||network.protocol||string
protocol_detail||network.protocol||string
service||application.name||string
service.name||application.name||string
network_service||application.name||string
tcp.srcport||source.tcp.port||integer
tcp.dstport||destination.tcp.port||integer
udp.srcport||source.udp.port||integer
udp.dstport||destination.udp.port||integer
vlan.name||network.vlan.name||string
vlan||network.vlan.id||integer
src_zone||source.zone||string
dst_zone||destination.zone||string
zone||network.zone||string
city.src||source.geo.city_name||string
city.dst||destination.geo.city_name||string
latdec_src||source.geo.location.lat||float
latdec_dst||destination.geo.location.lat||float
longdec_src||source.geo.location.lon||float
longdec_dst||destination.geo.city_name.lon||float
org.src||source.geo.organization||string
org_dst||destination.geo.organization||string
org.dst||destination.geo.organization||string
location_city||geo.city_name||string
location_country||geo.country_name||string
location_src||source.geo.country_name||string
location_dst||destination.geo.country_name||string
location_desc||geo.name||string
location_state||geo.region_name||string
cid||rsa.cid||string
did||rsa.did||string
entropy.req||rsa.entropy.req||integer
entropy.res||rsa.entropy.res||integer
device.group||rsa.device.group||string
device.class||rsa.device.class||string
device.host||rsa.device.host||string
device.ip||rsa.device.ip||string
device.ipv6||rsa.device.ipv6||string
device.type||rsa.device.type||string
feed.category||rsa.feed.category||string
feed_desc||rsa.feed.desc||string
